date_id,date,Year,Month,Day
1,2020-01-01,2020,1,1
2,2020-01-02,2020,1,2
3,2020-01-03,2020,1,3
4,2020-01-04,2020,1,4
5,2020-01-05,2020,1,5
6,2020-01-06,2020,1,6
7,2020-01-07,2020,1,7
8,2020-01-08,2020,1,8
9,2020-01-09,2020,1,9
10,2020-01-10,2020,1,10
11,2020-01-11,2020,1,11
12,2020-01-12,2020,1,12
13,2020-01-13,2020,1,13
14,2020-01-14,2020,1,14
15,2020-01-15,2020,1,15
16,2020-01-16,2020,1,16
17,2020-01-17,2020,1,17
18,2020-01-18,2020,1,18
19,2020-01-19,2020,1,19
20,2020-01-20,2020,1,20
21,2020-01-21,2020,1,21
22,2020-01-22,2020,1,22
23,2020-01-23,2020,1,23
24,2020-01-24,2020,1,24
25,2020-01-25,2020,1,25
26,2020-01-26,2020,1,26
27,2020-01-27,2020,1,27
28,2020-01-28,2020,1,28
29,2020-01-29,2020,1,29
30,2020-01-30,2020,1,30
31,2020-01-31,2020,1,31
32,2020-02-01,2020,2,1
33,2020-02-02,2020,2,2
34,2020-02-03,2020,2,3
35,2020-02-04,2020,2,4
36,2020-02-05,2020,2,5
37,2020-02-06,2020,2,6
38,2020-02-07,2020,2,7
39,2020-02-08,2020,2,8
40,2020-02-09,2020,2,9
41,2020-02-10,2020,2,10
42,2020-02-11,2020,2,11
43,2020-02-12,2020,2,12
44,2020-02-13,2020,2,13
45,2020-02-14,2020,2,14
46,2020-02-15,2020,2,15
47,2020-02-16,2020,2,16
48,2020-02-17,2020,2,17
49,2020-02-18,2020,2,18
50,2020-02-19,2020,2,19
51,2020-02-20,2020,2,20
52,2020-02-21,2020,2,21
53,2020-02-22,2020,2,22
54,2020-02-23,2020,2,23
55,2020-02-24,2020,2,24
56,2020-02-25,2020,2,25
57,2020-02-26,2020,2,26
58,2020-02-27,2020,2,27
59,2020-02-28,2020,2,28
60,2020-02-29,2020,2,29
61,2020-03-01,2020,3,1
62,2020-03-02,2020,3,2
63,2020-03-03,2020,3,3
64,2020-03-04,2020,3,4
65,2020-03-05,2020,3,5
66,2020-03-06,2020,3,6
67,2020-03-07,2020,3,7
68,2020-03-08,2020,3,8
69,2020-03-09,2020,3,9
70,2020-03-10,2020,3,10
71,2020-03-11,2020,3,11
72,2020-03-12,2020,3,12
73,2020-03-13,2020,3,13
74,2020-03-14,2020,3,14
75,2020-03-15,2020,3,15
76,2020-03-16,2020,3,16
77,2020-03-17,2020,3,17
78,2020-03-18,2020,3,18
79,2020-03-19,2020,3,19
80,2020-03-20,2020,3,20
81,2020-03-21,2020,3,21
82,2020-03-22,2020,3,22
83,2020-03-23,2020,3,23
84,2020-03-24,2020,3,24
85,2020-03-25,2020,3,25
86,2020-03-26,2020,3,26
87,2020-03-27,2020,3,27
88,2020-03-28,2020,3,28
89,2020-03-29,2020,3,29
90,2020-03-30,2020,3,30
91,2020-03-31,2020,3,31
92,2020-04-01,2020,4,1
93,2020-04-02,2020,4,2
94,2020-04-03,2020,4,3
95,2020-04-04,2020,4,4
96,2020-04-05,2020,4,5
97,2020-04-06,2020,4,6
98,2020-04-07,2020,4,7
99,2020-04-08,2020,4,8
100,2020-04-09,2020,4,9
101,2020-04-10,2020,4,10
102,2020-04-11,2020,4,11
103,2020-04-12,2020,4,12
104,2020-04-13,2020,4,13
105,2020-04-14,2020,4,14
106,2020-04-15,2020,4,15
107,2020-04-16,2020,4,16
108,2020-04-17,2020,4,17
109,2020-04-18,2020,4,18
110,2020-04-19,2020,4,19
111,2020-04-20,2020,4,20
112,2020-04-21,2020,4,21
113,2020-04-22,2020,4,22
114,2020-04-23,2020,4,23
115,2020-04-24,2020,4,24
116,2020-04-25,2020,4,25
117,2020-04-26,2020,4,26
118,2020-04-27,2020,4,27
119,2020-04-28,2020,4,28
120,2020-04-29,2020,4,29
121,2020-04-30,2020,4,30
122,2020-05-01,2020,5,1
123,2020-05-02,2020,5,2
124,2020-05-03,2020,5,3
125,2020-05-04,2020,5,4
126,2020-05-05,2020,5,5
127,2020-05-06,2020,5,6
128,2020-05-07,2020,5,7
129,2020-05-08,2020,5,8
130,2020-05-09,2020,5,9
131,2020-05-10,2020,5,10
132,2020-05-11,2020,5,11
133,2020-05-12,2020,5,12
134,2020-05-13,2020,5,13
135,2020-05-14,2020,5,14
136,2020-05-15,2020,5,15
137,2020-05-16,2020,5,16
138,2020-05-17,2020,5,17
139,2020-05-18,2020,5,18
140,2020-05-19,2020,5,19
141,2020-05-20,2020,5,20
142,2020-05-21,2020,5,21
143,2020-05-22,2020,5,22
144,2020-05-23,2020,5,23
145,2020-05-24,2020,5,24
146,2020-05-25,2020,5,25
147,2020-05-26,2020,5,26
148,2020-05-27,2020,5,27
149,2020-05-28,2020,5,28
150,2020-05-29,2020,5,29
151,2020-05-30,2020,5,30
152,2020-05-31,2020,5,31
153,2020-06-01,2020,6,1
154,2020-06-02,2020,6,2
155,2020-06-03,2020,6,3
156,2020-06-04,2020,6,4
157,2020-06-05,2020,6,5
158,2020-06-06,2020,6,6
159,2020-06-07,2020,6,7
160,2020-06-08,2020,6,8
161,2020-06-09,2020,6,9
162,2020-06-10,2020,6,10
163,2020-06-11,2020,6,11
164,2020-06-12,2020,6,12
165,2020-06-13,2020,6,13
166,2020-06-14,2020,6,14
167,2020-06-15,2020,6,15
168,2020-06-16,2020,6,16
169,2020-06-17,2020,6,17
170,2020-06-18,2020,6,18
171,2020-06-19,2020,6,19
172,2020-06-20,2020,6,20
173,2020-06-21,2020,6,21
174,2020-06-22,2020,6,22
175,2020-06-23,2020,6,23
176,2020-06-24,2020,6,24
177,2020-06-25,2020,6,25
178,2020-06-26,2020,6,26
179,2020-06-27,2020,6,27
180,2020-06-28,2020,6,28
181,2020-06-29,2020,6,29
182,2020-06-30,2020,6,30
183,2020-07-01,2020,7,1
184,2020-07-02,2020,7,2
185,2020-07-03,2020,7,3
186,2020-07-04,2020,7,4
187,2020-07-05,2020,7,5
188,2020-07-06,2020,7,6
189,2020-07-07,2020,7,7
190,2020-07-08,2020,7,8
191,2020-07-09,2020,7,9
192,2020-07-10,2020,7,10
193,2020-07-11,2020,7,11
194,2020-07-12,2020,7,12
195,2020-07-13,2020,7,13
196,2020-07-14,2020,7,14
197,2020-07-15,2020,7,15
198,2020-07-16,2020,7,16
199,2020-07-17,2020,7,17
200,2020-07-18,2020,7,18
201,2020-07-19,2020,7,19
202,2020-07-20,2020,7,20
203,2020-07-21,2020,7,21
204,2020-07-22,2020,7,22
205,2020-07-23,2020,7,23
206,2020-07-24,2020,7,24
207,2020-07-25,2020,7,25
208,2020-07-26,2020,7,26
209,2020-07-27,2020,7,27
210,2020-07-28,2020,7,28
211,2020-07-29,2020,7,29
212,2020-07-30,2020,7,30
213,2020-07-31,2020,7,31
214,2020-08-01,2020,8,1
215,2020-08-02,2020,8,2
216,2020-08-03,2020,8,3
217,2020-08-04,2020,8,4
218,2020-08-05,2020,8,5
219,2020-08-06,2020,8,6
220,2020-08-07,2020,8,7
221,2020-08-08,2020,8,8
222,2020-08-09,2020,8,9
223,2020-08-10,2020,8,10
224,2020-08-11,2020,8,11
225,2020-08-12,2020,8,12
226,2020-08-13,2020,8,13
227,2020-08-14,2020,8,14
228,2020-08-15,2020,8,15
229,2020-08-16,2020,8,16
230,2020-08-17,2020,8,17
231,2020-08-18,2020,8,18
232,2020-08-19,2020,8,19
233,2020-08-20,2020,8,20
234,2020-08-21,2020,8,21
235,2020-08-22,2020,8,22
236,2020-08-23,2020,8,23
237,2020-08-24,2020,8,24
238,2020-08-25,2020,8,25
239,2020-08-26,2020,8,26
240,2020-08-27,2020,8,27
241,2020-08-28,2020,8,28
242,2020-08-29,2020,8,29
243,2020-08-30,2020,8,30
244,2020-08-31,2020,8,31
245,2020-09-01,2020,9,1
246,2020-09-02,2020,9,2
247,2020-09-03,2020,9,3
248,2020-09-04,2020,9,4
249,2020-09-05,2020,9,5
250,2020-09-06,2020,9,6
251,2020-09-07,2020,9,7
252,2020-09-08,2020,9,8
253,2020-09-09,2020,9,9
254,2020-09-10,2020,9,10
255,2020-09-11,2020,9,11
256,2020-09-12,2020,9,12
257,2020-09-13,2020,9,13
258,2020-09-14,2020,9,14
259,2020-09-15,2020,9,15
260,2020-09-16,2020,9,16
261,2020-09-17,2020,9,17
262,2020-09-18,2020,9,18
263,2020-09-19,2020,9,19
264,2020-09-20,2020,9,20
265,2020-09-21,2020,9,21
266,2020-09-22,2020,9,22
267,2020-09-23,2020,9,23
268,2020-09-24,2020,9,24
269,2020-09-25,2020,9,25
270,2020-09-26,2020,9,26
271,2020-09-27,2020,9,27
272,2020-09-28,2020,9,28
273,2020-09-29,2020,9,29
274,2020-09-30,2020,9,30
275,2020-10-01,2020,10,1
276,2020-10-02,2020,10,2
277,2020-10-03,2020,10,3
278,2020-10-04,2020,10,4
279,2020-10-05,2020,10,5
280,2020-10-06,2020,10,6
281,2020-10-07,2020,10,7
282,2020-10-08,2020,10,8
283,2020-10-09,2020,10,9
284,2020-10-10,2020,10,10
285,2020-10-11,2020,10,11
286,2020-10-12,2020,10,12
287,2020-10-13,2020,10,13
288,2020-10-14,2020,10,14
289,2020-10-15,2020,10,15
290,2020-10-16,2020,10,16
291,2020-10-17,2020,10,17
292,2020-10-18,2020,10,18
293,2020-10-19,2020,10,19
294,2020-10-20,2020,10,20
295,2020-10-21,2020,10,21
296,2020-10-22,2020,10,22
297,2020-10-23,2020,10,23
298,2020-10-24,2020,10,24
299,2020-10-25,2020,10,25
300,2020-10-26,2020,10,26
301,2020-10-27,2020,10,27
302,2020-10-28,2020,10,28
303,2020-10-29,2020,10,29
304,2020-10-30,2020,10,30
305,2020-10-31,2020,10,31
306,2020-11-01,2020,11,1
307,2020-11-02,2020,11,2
308,2020-11-03,2020,11,3
309,2020-11-04,2020,11,4
310,2020-11-05,2020,11,5
311,2020-11-06,2020,11,6
312,2020-11-07,2020,11,7
313,2020-11-08,2020,11,8
314,2020-11-09,2020,11,9
315,2020-11-10,2020,11,10
316,2020-11-11,2020,11,11
317,2020-11-12,2020,11,12
318,2020-11-13,2020,11,13
319,2020-11-14,2020,11,14
320,2020-11-15,2020,11,15
321,2020-11-16,2020,11,16
322,2020-11-17,2020,11,17
323,2020-11-18,2020,11,18
324,2020-11-19,2020,11,19
325,2020-11-20,2020,11,20
326,2020-11-21,2020,11,21
327,2020-11-22,2020,11,22
328,2020-11-23,2020,11,23
329,2020-11-24,2020,11,24
330,2020-11-25,2020,11,25
331,2020-11-26,2020,11,26
332,2020-11-27,2020,11,27
333,2020-11-28,2020,11,28
334,2020-11-29,2020,11,29
335,2020-11-30,2020,11,30
336,2020-12-01,2020,12,1
337,2020-12-02,2020,12,2
338,2020-12-03,2020,12,3
339,2020-12-04,2020,12,4
340,2020-12-05,2020,12,5
341,2020-12-06,2020,12,6
342,2020-12-07,2020,12,7
343,2020-12-08,2020,12,8
344,2020-12-09,2020,12,9
345,2020-12-10,2020,12,10
346,2020-12-11,2020,12,11
347,2020-12-12,2020,12,12
348,2020-12-13,2020,12,13
349,2020-12-14,2020,12,14
350,2020-12-15,2020,12,15
351,2020-12-16,2020,12,16
352,2020-12-17,2020,12,17
353,2020-12-18,2020,12,18
354,2020-12-19,2020,12,19
355,2020-12-20,2020,12,20
356,2020-12-21,2020,12,21
357,2020-12-22,2020,12,22
358,2020-12-23,2020,12,23
359,2020-12-24,2020,12,24
360,2020-12-25,2020,12,25
361,2020-12-26,2020,12,26
362,2020-12-27,2020,12,27
363,2020-12-28,2020,12,28
364,2020-12-29,2020,12,29
365,2020-12-30,2020,12,30
366,2020-12-31,2020,12,31
